,ticker,market_cap
0,AAPL,3890834833408
1,ACN,127705194496
2,AMD,323832184832
3,AMZN,2237050126336
4,BAC,363737317376
5,BLK,165749276672
6,COST,445187457024
7,CVS,103888756736
8,DIS,185017466880
9,DPZ,13497629696
10,F,53419077632
11,GILD,186250330112
12,INTU,116666302464
13,JD,38876950528
14,JPM,802528952320
15,KO,345075089408
16,LUV,24963076096
17,MA,464960028672
18,MCD,238929035264
19,MSFT,2962173984768
20,NAT,1262033920
21,NVDA,4435176587264
22,PBI,1733088640
23,PFE,154992394240
24,SBUX,110238670848
25,SPY,629947236352
26,TGT,51424350208
27,TM,317571497984
28,TSLA,1513430843392
29,UL,156296904704
30,UNH,267158962176
31,WMT,1013349351424
32,XOM,642598305792
